,State,County,Killed,Injured,AvgKilled,AvgInjured,Population,Houses,LandArea,PopDensity,HousingPrice,NumIncidents,NumCities
pa-allegheny,pa,allegheny,369.0,842.0,0.2808219178082192,0.6407914764079148,719918.0,361054.0,262.5500000000009,2742.022471910103,138402.04637967006,1314,69
tn-scott,tn,scott,3.0,5.0,0.6,1.0,7119.0,3309.0,27.77000000000001,256.355779618293,88225.17621082884,5,5
fl-saintlucie,fl,saintlucie,42.0,96.0,0.18421052631578946,0.42105263157894735,41590.0,21357.0,20.570000000000025,2021.87651920272,142109.4956521739,228,1
va-mecklenburg,va,mecklenburg,0.0,0.0,,,10857.0,6795.0,31.12999999999999,348.76325088339235,123082.19514048446,0,7
ms-jasper,ms,jasper,1.0,1.0,0.5,0.5,2781.0,1369.0,26.110000000000028,106.51091535810023,74100.35390050834,2,3
mo-clinton,mo,clinton,2.0,1.0,0.6666666666666666,0.3333333333333333,16658.0,5875.0,13.389999999999999,1244.062733383122,139752.74945028225,3,6
nc-davie,nc,davie,0.0,3.0,0.0,0.75,7149.0,3193.0,15.46000000000001,462.4191461836996,139640.3156458324,4,3
ca-monterey,ca,monterey,142.0,202.0,0.3053763440860215,0.4344086021505376,320457.5,101709.0,85.36500000000011,3753.968253968249,566213.6147749819,465,20
mn-martin,mn,martin,1.0,1.0,0.5,0.5,15548.0,7641.0,21.359999999999992,727.9026217228467,102071.7952693445,2,10
va-albemarle,va,albemarle,1.0,0.0,1.0,0.0,6852.0,2862.0,11.589999999999993,591.1993097497847,333296.75269185245,1,4
il-marion,il,marion,3.0,8.0,0.1111111111111111,0.2962962962962963,14454.0,7095.0,10.879999999999995,1328.492647058824,69704.04180006041,27,4
ny-monroe,ny,monroe,195.0,1020.0,0.1371308016877637,0.7172995780590717,164899.3333333333,74916.83333333334,110.15666666666705,1496.9528247647236,133718.08836968962,1422,9
ok-rogers,ok,rogers,9.0,7.0,0.25,0.19444444444444445,32320.0,13800.0,58.19,555.4218937961849,137901.3459196042,36,8
tx-fortbend,tx,fortbend,1182.0,1225.0,0.4701670644391408,0.48727128082736676,2365365.0,985860.0,751.9700000000144,3145.5576685239503,182433.1492034162,2514,19
nc-jones,nc,jones,0.0,5.0,0.0,1.0,1617.0,793.0,1.2200000000000002,1325.4098360655735,114141.25885889288,5,3
la-tangipahoa,la,tangipahoa,30.0,23.0,0.410958904109589,0.3150684931506849,27538.0,11316.0,22.22,1239.3339333933393,155674.02608112677,73,4
